,contents
0,我怀疑你在影射我VV什么
1,自带弹幕
2,88888888
3,381鱼雷警告
4,啊！是女提督！awsl
5,有的哦
6,截图做壁纸
7,舰r那边好多都不认识了
8,她笑起来像个驱逐舰
9,god bless peace
10,UP主在这里放VV是故意的吗(滑稽)→w→
11,太太我喜欢你！！！
12,OVO
13,哈哈哈哈哈哈哈哈太缺德了哈哈哈哈哈哈哈哈
14,美！
15,碧蓝航线誓约背景
16,独角兽
17,VV怎么挺胸？？
18,萨拉托加                        
19,0v0
20,看到光辉那一刻我知道vv幸福的要死了
21,我好帅！
22,威尔士亲王              罗德尼
23,钢板！
24,爱宕
25,OvO
26,还有少前？
27,事钢板！
28,有啊
29,光辉
30,钢板
31,是钢板！wsl
32,赤城                        加贺
33,都是誓约台词
34,威尔士亲王                    
35,萨拉托加                                    
36,爱宕
37,          列克星敦
38,标枪
39,列太太~
40,两个老罗才对
41,仨吉祥物23333
42,这是指挥官吗
43,        欧根亲王
44,哈曼
45,0v0
46,               让·巴尔
47,左边是r的罗德尼啊喂
48,好有爱啊！
49,凌波
50,企业
51,逸仙
52,火钳刘明
53,贝尔法斯特
54,笑一笑吧
55,小狐狸
56,(⁄ ⁄•⁄ω⁄•⁄ ⁄)
57,蛮啾                         
58,碧蓝航线港区
59,错了，左边是舰r的罗德尼，右边是碧蓝的罗德尼
60,密苏里
61,ovo
62,0v0
63,ovo
64,都是好事
65,来了来了，
66,M16A1 16哥
67,wwwwwww
68,小狐狸      独角兽
69,少前X舰B
70,16鸽
71,维内托 大姐头
72,碧蓝的威尔士亲王       舰R的胡德
73,昆西昆西昆
74,。
75,。
76,“充斥着猜疑妒忌”
77,真好呀
78,“即便有人因此哭泣”
79,少前的机关枪(｡･ω･｡)ﾉ♡
80,我看见罗德尼的词了
81,“习惯了争论谩骂”
82,狗子
83,“也无人会留心在意”
84,“到底该如何改变”
85,汤姆逊
86,“那就让我们一起笑一笑吧！”
87,“让我们能够互相理解”
88,钢板！
89,等等！这大小不对！
90,企业
91,黎姐和82
92,啊！！加加！！！
93,萤火虫
94,欧根和猫
95,列克星敦
96,0v0
97,前面说钢板的鼻梁骨都给我安排上www
98,猫
99,左边这是大哥？
100,zal
101,昆西昆西昆
102,OvO
103,三只吉祥物
104,老婆啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！
105,OvO
106,OVO
107,俾斯麦   欧根亲王
108,萤火虫  标枪  G11
